Place, Starters, Points, Points Total, First Name, Last Name, Category, Event, Race, Date, Notes
56, ?, 0, 0,"Mike"	,"Wenrick"	,"4"	,"Bend"	,"Masters 35+ 4"	,2017-10-28,"DOWNGRADED TO 4"
39, ?, 0, 0,"Mike"	,"Wenrick"	,"3"	,"David Douglas"	,"Masters 35+ Category 3"	,2018-09-01,"UPGRADED TO 3 WITH 0 POINTS"
3,15, 1, 1,"alex"	,"wentz"	,"1/2"	,"Kruger's Kermesse... Encore! CX Farm Crit"	,"Men A"	,2013-08-25,""
5,25, 1, 2,"alex"	,"wentz"	,"1/2"	,"David Douglas CX #1"	,"Category A"	,2013-08-31,""
2,14, 2, 4,"alex"	,"wentz"	,"1/2"	,"Sandy/Boring Corn Cross"	,"Category A"	,2013-11-02,""
5,13, 1, 1,"Cindy"	,"Werhane"	,"5"	,"Heiser Farms CX"	,"Beginner Women"	,2014-10-04,""
5,14, 1, 2,"Cindy"	,"Werhane"	,"5"	,"Kruger's Crossing CX"	,"Beginner Women"	,2014-11-23,""
6,21, 2, 4,"Cindy"	,"Werhane"	,"5"	,"Kruger's Kermesse Farm Crit"	,"Beginner Women"	,2015-08-30,""
3,10, 1, 5,"Cindy"	,"Werhane"	,"5"	,"Rapha Portland Trophy Cup"	,"Beginner Women"	,2015-09-01,""
3,11, 3, 8,"Cindy"	,"Werhane"	,"5"	,"GPRM 2015: Zaaldercross"	,"Beginner Women"	,2015-09-19,""
3,11, 3,11,"Cindy"	,"Werhane"	,"5"	,"Blind Date at the Dairy"	,"Beginner Women"	,2015-09-23,""
2, 7, 2,13,"Cindy"	,"Werhane"	,"5"	,"GPRM 2015: Ninkrossi"	,"Beginner Women"	,2015-09-26,""
1,12, 5,18,"Cindy"	,"Werhane"	,"5"	,"Blind Date at the Dairy"	,"Beginner Women"	,2015-09-30,""
4, ?, 0, 0,"Cindy"	,"Werhane"	,"4"	,"Blind Date at the Dairy"	,"Women C"	,2015-10-07,"UPGRADED TO 4 WITH 18 POINTS"
3,16, 3, 3,"Cindy"	,"Werhane"	,"4"	,"Blind Date at the Dairy"	,"Women C"	,2015-10-14,""
5,12, 1, 4,"Cindy"	,"Werhane"	,"4"	,"CrossWord CX Challenge p/b Western Bikeworks"	,"Women C"	,2015-10-17,""
3,50, 5, 5,"Dan"	,"Werle"	,"3"	,"Battle at Barlow"	,"Masters 35+ B"	,2014-09-28,"DOWNGRADED TO 3"
3,14, 1, 6,"Dan"	,"Werle"	,"3"	,"Rapha Trophy Cup p/b Western Bikeworks"	,"Masters B 40+"	,2014-09-30,""
2,14, 2, 8,"Dan"	,"Werle"	,"3"	,"Rapha Trophy Cup p/b Western Bikeworks"	,"Masters B 40+"	,2014-10-07,""
1,17, 5,13,"Dan"	,"Werle"	,"3"	,"Sandy/Boring Corn Cross"	,"Masters Men 35+ B"	,2014-11-01,""
26, ?, 0, 0,"Dan"	,"Werle"	,"2"	,"OBRA Cyclocross Championships: Peddlars at the Poor Farm"	,"Masters 35+ A"	,2014-11-08,"PREMATURELY UPGRADED TO 2 WITH 13 POINTS"
8, ?, 0, 0,"Dan"	,"Werle"	,"3"	,"David Douglas"	,"Masters 35+ Category 3"	,2018-09-01,"DOWNGRADED TO 3"
4,22, 2, 2,"Dan"	,"Werle"	,"3"	,"Luscher Farm Crosstoberfest"	,"Masters 35+ Category 3"	,2018-10-27,""
1,61,10,12,"Dan"	,"Werle"	,"3"	,"Cascade Locks"	,"Masters 35+ Category 3"	,2018-10-28,""
1,22, 5, 5,"Carl"	,"Werner"	,"3"	,"Pedalers at the Poor Farm"	,"Masters 35+ B"	,2015-11-07,""
2,32, 6,11,"Carl"	,"Werner"	,"3"	,"OBRA Cyclocross Championships p/b City of Sandy"	,"Masters 35+ B"	,2015-11-21,""
1,20, 5,16,"Carl"	,"Werner"	,"3"	,"Peddlers at Edgefield"	,"Masters 35+ Category 3"	,2016-11-05,""
6,42, 2,13,"Carl"	,"Werner"	,"3"	,"OBRA State Champs at Corn Cross"	,"Masters 35+ Category 3"	,2016-11-19,""
5,54, 3,10,"Carl"	,"Werner"	,"3"	,"GPCM: DDCX"	,"Masters 35+ Category 3"	,2017-09-02,""
2,41, 6,16,"Carl"	,"Werner"	,"3"	,"GPCM: Het Meer CX"	,"Masters 35+ Category 3"	,2017-09-09,""
7,40, 1,17,"Carl"	,"Werner"	,"3"	,"Blind Date at the Dairy"	,"Men 3/4"	,2017-09-20,""
8,82, 1,18,"Carl"	,"Werner"	,"3"	,"Cascade Locks"	,"Masters 35+ Category 3"	,2017-10-15,""
1,11, 3,21,"Carl"	,"Werner"	,"3"	,"CrossWord CX Challenge"	,"Masters 35+ Category 3"	,2017-10-21,"NEEDS UPGRADE"
8,88, 1,22,"Carl"	,"Werner"	,"3"	,"PIR: Heron Lakes"	,"Masters 35+ Category 3"	,2017-10-22,"NEEDS UPGRADE"
3,26, 5,27,"Carl"	,"Werner"	,"3"	,"GPCM: Luscher Farm Crosstoberfest "	,"Masters 35+ Category 3"	,2017-10-28,"NEEDS UPGRADE"
16, ?, 0, 0,"Carl"	,"Werner"	,"2"	,"Wooden Shoe"	,"Masters 35+ 1/2"	,2017-11-05,"UPGRADED TO 2 WITH 27 POINTS"
5,17, 1, 1,"Paul"	,"Wertzberger"	,"3"	,"Harvest Cross"	,"Masters 35+ 3/4"	,2017-10-07,""
1, 6, 3, 3,"Erica"	,"Wescott"	,"3"	,"GPTB: Double Cross"	,"Masters Women 35+ B"	,2012-09-15,""
1, 8, 3, 6,"Erica"	,"Wescott"	,"3"	,"Double Cross"	,"Masters Women 35+ B"	,2012-09-16,""
1,21, 7,13,"Erica"	,"Wescott"	,"3"	,"Alpenrose"	,"Masters Women 35+ B"	,2012-10-07,""
4,20, 2, 2,"Erica"	,"Wescott"	,"2"	,"Deschutes Brewery"	,"Masters Women 35+ A"	,2012-10-27,"PREMATURELY UPGRADED TO 2 WITH 13 POINTS"
5,21, 3, 5,"Erica"	,"Wescott"	,"2"	,"Deschutes Brewery"	,"Masters Women 35+ A"	,2012-10-28,""
3,10, 1, 6,"Erica"	,"Wescott"	,"2"	,"Thrilla Cyclocross Series"	,"Women A"	,2013-09-12,""
1,17, 5,11,"Erica"	,"Wescott"	,"2"	,"Battle At Barlow"	,"Masters Women 35+ A"	,2013-09-29,""
1,26, 7,18,"Erica"	,"Wescott"	,"2"	,"Alpenrose Dairy"	,"Masters Women 35+ A"	,2013-10-06,""
1,27, 7,25,"Erica"	,"Wescott"	,"2"	,"PIR Heron Lakes"	,"Masters Women 35+ A"	,2013-10-20,""
1,21, 7, 7,"Erica"	,"Wescott"	,"1"	,"Deschutes Brewery"	,"Masters Women 35+ A"	,2013-10-26,"UPGRADED TO 1 WITH 25 POINTS"
6,26, 2, 9,"Erica"	,"Wescott"	,"1"	,"Washington County Fair Complex"	,"Masters Women 35+ A"	,2013-11-03,""
1,27, 7,16,"Erica"	,"Wescott"	,"1"	,"PIR Infield"	,"Masters Women 35+ A"	,2013-11-10,""
1,28, 7,23,"Erica"	,"Wescott"	,"1"	,"Barton Park"	,"Masters Women 35+ A"	,2013-11-17,""
2,12, 4,27,"Erica"	,"Wescott"	,"1"	,"Deschutes Brewery"	,"Masters Women 35+ A"	,2013-12-08,""
3, 7, 1,28,"Erica"	,"Wescott"	,"1"	,"MBSEF Thrilla Cyclocross Series"	,"Women A"	,2014-09-10,""
3, 8, 1,29,"Erica"	,"Wescott"	,"1"	,"MBSEF Thrilla Cyclocross Series"	,"Women A"	,2014-10-01,""
2, 8, 2, 3,"Erica"	,"Wescott"	,"1"	,"Cooper Spur Cyclocross"	,"Masters Women 35+ A"	,2015-10-04,""
4,25, 4, 6,"Erica"	,"Wescott"	,"1"	,"Alpenrose"	,"Masters Women 35+ A"	,2015-10-10,""
5,25, 3, 9,"Erica"	,"Wescott"	,"1"	,"Alpenrose"	,"Masters Women 35+ A"	,2015-10-11,""
3,20, 3,12,"Erica"	,"Wescott"	,"1"	,"Cascade Locks"	,"Masters Women 35+ A"	,2015-10-18,""
5,26, 3,15,"Erica"	,"Wescott"	,"1"	,"Deschutes Brewery"	,"Masters Women 35+ A"	,2015-10-31,""
2,23, 6,21,"Erica"	,"Wescott"	,"1"	,"Deschutes Brewery"	,"Masters Women 35+ A"	,2015-11-01,""
3,19, 3,24,"Erica"	,"Wescott"	,"1"	,"Barton Park"	,"Masters Women 35+ A"	,2015-11-08,""
2,18, 4,28,"Erica"	,"Wescott"	,"1"	,"Portland International Raceway"	,"Masters Women 35+ A"	,2015-11-14,""
3,15, 3,31,"Erica"	,"Wescott"	,"1"	,"Portland International Raceway"	,"Masters Women 35+ A"	,2015-11-15,""
6,32, 2,33,"Erica"	,"Wescott"	,"1"	,"River City Bicycles Cyclocross Crusade"	,"Masters Women 35+ 1/2"	,2016-10-08,""
4,24, 4,35,"Erica"	,"Wescott"	,"1"	,"River City Bicycles Cyclocross Crusade"	,"Masters Women 35+ 1/2"	,2016-10-15,""
2,21, 6,41,"Erica"	,"Wescott"	,"1"	,"River City Bicycles Cyclocross Crusade"	,"Masters Women 35+ 1/2"	,2016-10-16,""
5,28, 3,34,"Erica"	,"Wescott"	,"1"	,"River City Bicycles Cyclocross Crusade"	,"Masters Women 35+ 1/2"	,2016-10-29,""
5,27, 3,37,"Erica"	,"Wescott"	,"1"	,"River City Bicycles Cyclocross Crusade"	,"Masters Women 35+ 1/2"	,2016-10-30,""
2,13, 4,22,"Erica"	,"Wescott"	,"1"	,"GPCM: Heiser Farm CX"	,"Masters Women 35+ 1/2"	,2017-09-30,""
3,24, 5,27,"Erica"	,"Wescott"	,"1"	,"Alpenrose Dairy #1"	,"Masters Women 35+ 1/2"	,2017-10-07,""
4,21, 4,19,"Erica"	,"Wescott"	,"1"	,"Bend"	,"Masters Women 35+ 1/2"	,2017-10-28,""
1, 9, 3,16,"Erica"	,"Wescott"	,"1"	,"OBRA Championships: Kruger's Crossing Cyclocross Classic"	,"Masters Women 35+ 1/2"	,2017-11-19,""
5,24, 3,19,"Erica"	,"Wescott"	,"1"	,"Alpenrose Dairy Day 1"	,"Masters Women 35+ 1/2"	,2018-10-06,""
3,23, 5,24,"Erica"	,"Wescott"	,"1"	,"Alpenrose Dairy Day 2"	,"Masters Women 35+ 1/2"	,2018-10-07,""
2,20, 4,24,"Erica"	,"Wescott"	,"1"	,"PIR Heron Lakes"	,"Masters Women 35+ 1/2"	,2018-10-14,""
1,15, 5,24,"Erica"	,"Wescott"	,"1"	,"Deschutes Brewery Day 2"	,"Masters Women 35+ 1/2"	,2018-11-04,""
1,17, 5,25,"Erica"	,"Wescott"	,"1"	,"Rainier High School (OBRA Cyclocross Championships)"	,"Masters Women 35+ 1/2"	,2018-11-11,""
3,16, 3,28,"Erica"	,"Wescott"	,"1"	,"Barton Park"	,"Masters Women 35+ 1/2"	,2018-11-18,""
6,76, 3, 3,"Tanner"	,"Wescott"	,"3/4/5"	,"River City Bicycles Cyclocross Crusade"	,"Junior Men 3/4/5"	,2016-10-30,""
8,67, 1, 4,"Tanner"	,"Wescott"	,"3/4/5"	,"River City Bicycles Cyclocross Crusade"	,"Junior Men 3/4/5"	,2016-11-13,""
2,50, 6,10,"Tanner"	,"Wescott"	,"3/4/5"	,"Corn Cross 1"	,"Junior Men 3/4/5"	,2017-09-10,""
4,59, 5,15,"Tanner"	,"Wescott"	,"3/4/5"	,"GPCM: Zaaldercross"	,"Junior Men 3/4/5"	,2017-09-16,""
1,19, 5,20,"Tanner"	,"Wescott"	,"3/4/5"	,"MBSEF Thrilla Cyclocross Series"	,"Category 3/4/5 Junior Men"	,2017-09-21,"NEEDS UPGRADE"
1,14, 5, 5,"Tanner"	,"Wescott"	,"4"	,"MBSEF Thrilla Cyclocross Series"	,"Category 3/4/5 Junior Men"	,2017-09-28,"UPGRADED TO 4 WITH 20 POINTS"
3,57, 7,12,"Tanner"	,"Wescott"	,"4"	,"GPCM: Heiser Farm CX"	,"Junior Men 3/4/5"	,2017-09-30,""
2,56, 8,20,"Tanner"	,"Wescott"	,"4"	,"Alpenrose Dairy #1"	,"Junior Men 3/4/5"	,2017-10-07,"NEEDS UPGRADE"
2,70, 8, 8,"Tanner"	,"Wescott"	,"3"	,"Alpenrose Dairy #2"	,"Junior Men 3/4/5"	,2017-10-08,"UPGRADED TO 3 WITH 20 POINTS"
2,52, 8,16,"Tanner"	,"Wescott"	,"3"	,"Cascade Locks"	,"Junior Men 3/4/5"	,2017-10-15,""
2,73, 8,24,"Tanner"	,"Wescott"	,"3"	,"Bend"	,"Junior Men 3/4/5"	,2017-10-29,"NEEDS UPGRADE"
4,64, 5,29,"Tanner"	,"Wescott"	,"3"	,"Barton Park"	,"Junior Men 3/4/5"	,2017-11-12,"NEEDS UPGRADE"
1,16, 5,34,"Tanner"	,"Wescott"	,"3"	,"MBSEF Thrilla Cyclocross Series"	,"Category 3 Men"	,2018-09-06,"NEEDS UPGRADE"
8, ?, 0, 0,"Tanner"	,"Wescott"	,"2"	,"Corn Cross"	,"Men 2/3"	,2018-09-09,"UPGRADED TO 2 WITH 34 POINTS"
1,45, 0, 0,"Tanner"	,"Wescott"	,"2"	,"Ninkrossi"	,"Junior Men 3/4/5"	,2018-09-22,"NO POINTS FOR RACING BELOW CATEGORY"
1,53, 0, 0,"Tanner"	,"Wescott"	,"2"	,"Heiser Farm"	,"Junior Men 3/4/5"	,2018-09-29,"NO POINTS FOR RACING BELOW CATEGORY"
1,11, 0, 0,"Tanner"	,"Wescott"	,"2"	,"MBSEF Thrilla Cyclocross Series"	,"Category 3/4/5 Junior Men"	,2018-10-04,"NO POINTS FOR RACING BELOW CATEGORY"
8,76, 1, 1,"Tanner"	,"Wescott"	,"2"	,"Alpenrose Dairy Day 2"	,"Men 2/3"	,2018-10-07,""
1,95, 0, 1,"Tanner"	,"Wescott"	,"2"	,"PIR Heron Lakes"	,"Junior Men 3/4/5"	,2018-10-14,"NO POINTS FOR RACING BELOW CATEGORY"
1,90, 0, 1,"Tanner"	,"Wescott"	,"2"	,"Deschutes Brewery Day 1"	,"Junior Men 3/4/5"	,2018-11-03,"NO POINTS FOR RACING BELOW CATEGORY"
2,72, 8, 9,"Tanner"	,"Wescott"	,"2"	,"Deschutes Brewery Day 1"	,"Men 2/3"	,2018-11-03,""
2,68, 8,17,"Tanner"	,"Wescott"	,"2"	,"Deschutes Brewery Day 2"	,"Men 2/3"	,2018-11-04,""
1,68, 0,17,"Tanner"	,"Wescott"	,"2"	,"Rainier High School (OBRA Cyclocross Championships)"	,"Junior Men 3/4/5"	,2018-11-11,"NO POINTS FOR RACING BELOW CATEGORY"
8,67, 1, 1,"Joel"	,"West"	,"3/4"	,"Blind Date at the Dairy"	,"Masters Men 3/4 40+"	,2016-09-07,""
4,24, 2, 3,"Joel"	,"West"	,"4"	,"Luscher Farm Crosstoberfest"	,"Masters 35+ 4"	,2016-10-29,""
2,71, 8,11,"Joel"	,"West"	,"4"	,"Blind Date at the Dairy"	,"Masters Men 3/4 40+"	,2017-09-13,""
8,65, 1,11,"Joel"	,"West"	,"4"	,"Blind Date at the Dairy"	,"Masters Men 3/4 40+"	,2017-09-20,""
2,71, 8,19,"Joel"	,"West"	,"4"	,"Blind Date at the Dairy"	,"Masters Men 3/4 40+"	,2017-10-04,""
3,100, 7,26,"Joel"	,"West"	,"4"	,"Alpenrose Dairy #1"	,"Masters 35+ 4"	,2017-10-07,"NEEDS UPGRADE"
1,54, 7, 7,"Joel"	,"West"	,"3"	,"Blind Date at the Dairy"	,"Masters Men 3/4 40+"	,2017-10-11,"UPGRADED TO 3 WITH 26 POINTS"
3,23, 5, 5,"Stacy"	,"Westbrook"	,"4"	,"Battle at Barlow"	,"Women C"	,2014-09-28,""
2,12, 4, 9,"Stacy"	,"Westbrook"	,"4"	,"Rapha Trophy Cup p/b Western Bikeworks"	,"Women C"	,2014-09-30,""
12, ?, 0, 0,"Stacy"	,"Westbrook"	,"3"	,"Heiser Farms CX"	,"Women B"	,2014-10-04,"UPGRADED TO 3 WITH 9 POINTS"
1,15, 5, 5,"Stacy"	,"Westbrook"	,"3"	,"Rapha Portland Trophy Cup"	,"Women B"	,2015-09-01,""
4,16, 2, 7,"Stacy"	,"Westbrook"	,"3"	,"Rapha Portland Trophy Cup"	,"Women B"	,2015-09-08,""
3,15, 3,10,"Stacy"	,"Westbrook"	,"3"	,"Rapha Portland Trophy Cup"	,"Women B"	,2015-09-22,""
1,14, 5,15,"Stacy"	,"Westbrook"	,"3"	,"Rapha Portland Trophy Cup"	,"Women B"	,2015-09-29,""
3, 7, 1, 9,"Stacy"	,"Westbrook"	,"3"	,"Battle at Barlow"	,"Women 3"	,2016-09-25,""
4,11, 2, 2,"Aspynn"	,"Westby"	,"3/4/5"	,"Corn Cross 1"	,"Junior Women 3/4/5"	,2017-09-10,""
4,11, 2, 4,"Aspynn"	,"Westby"	,"3/4/5"	,"GPCM: Heiser Farm CX"	,"Junior Women 3/4/5"	,2017-09-30,""
2,15, 4, 8,"Aspynn"	,"Westby"	,"3/4/5"	,"Barton Park"	,"Junior Women 3/4/5"	,2017-11-12,""
2,12, 4,12,"Aspynn"	,"Westby"	,"3/4/5"	,"Corn Cross"	,"Junior Women 3/4/5"	,2018-09-09,""
5,11, 1, 1,"Erica"	,"Westcott"	,"1/2"	,"MBSEF Thrilla Cyclocross Series"	,"Women A"	,2015-09-30,""
7,33, 1, 1,"Mark"	,"westerfield"	,"5"	,"Blind Date at the Dairy"	,"Category 5 Men"	,2017-09-20,""
6,46, 2, 3,"Mark"	,"westerfield"	,"5"	,"Blind Date at the Dairy"	,"Category 5 Men"	,2017-09-27,""
2,11, 2, 5,"Mark"	,"westerfield"	,"5"	,"Cross on the Mountain"	,"Men 5"	,2017-10-01,""
6,47, 2, 7,"Mark"	,"westerfield"	,"5"	,"Blind Date at the Dairy"	,"Category 5 Men"	,2017-10-04,""
7,26, 1, 8,"Mark"	,"westerfield"	,"5"	,"Portland Trophy Cup"	,"Beginner Men"	,2017-10-10,""
7,36, 1, 9,"Mark"	,"westerfield"	,"5"	,"Blind Date at the Dairy"	,"Category 5 Men"	,2017-10-11,""
5,20, 1,10,"Mark"	,"westerfield"	,"5"	,"GPCM: Washougal CX"	,"Men 5"	,2017-10-14,""
1, ?, 0, 0,"Mark"	,"westerfield"	,"4"	,"Psychocross"	,"Men 4 35+"	,2017-11-18,"UPGRADED TO 4 WITH 10 POINTS"
5,31, 0, 0,"Mark"	,"westerfield"	,"4"	,"Portland Trophy Cup"	,"Open Beginner"	,2018-09-04,"NO POINTS FOR RACING BELOW CATEGORY"
4,38, 0, 0,"Mark"	,"westerfield"	,"4"	,"Portland Trophy Cup"	,"Open Beginner"	,2018-09-18,"NO POINTS FOR RACING BELOW CATEGORY"
4,39, 0, 0,"Mark"	,"westerfield"	,"4"	,"Portland Trophy Cup"	,"Open Beginner"	,2018-09-25,"NO POINTS FOR RACING BELOW CATEGORY"
5,32, 0, 0,"Mark"	,"westerfield"	,"4"	,"Portland Trophy Cup"	,"Open Beginner"	,2018-10-02,"NO POINTS FOR RACING BELOW CATEGORY"
2, 9, 2, 2,"Spring"	,"Westerfield"	,"3/4/5"	,"Het Meer"	,"Junior Women 3/4/5"	,2018-09-08,""
4,12, 2, 4,"Spring"	,"Westerfield"	,"3/4/5"	,"Corn Cross"	,"Junior Women 3/4/5"	,2018-09-09,""
7,29, 1, 5,"Spring"	,"Westerfield"	,"3/4/5"	,"PIR Heron Lakes"	,"Junior Women 3/4/5"	,2018-10-14,""
4,11, 2, 7,"Spring"	,"Westerfield"	,"3/4/5"	,"Corn Cross 2"	,"Junior Women 3/4/5"	,2018-11-10,""
5,19, 1, 8,"Spring"	,"Westerfield"	,"3/4/5"	,"Barton Park"	,"Junior Women 3/4/5"	,2018-11-18,""
6,24, 2, 2,"Tygre"	,"Westerfield"	,"3/4/5"	,"GPCM: Luscher Farm Crosstoberfest "	,"Junior Men 3/4/5"	,2017-10-28,""
4,35, 4, 6,"Tygre"	,"Westerfield"	,"3/4/5"	,"David Douglas"	,"Junior Men 3/4/5"	,2018-09-01,""
2,27, 6,12,"Tygre"	,"Westerfield"	,"3/4/5"	,"Het Meer"	,"Junior Men 3/4/5"	,2018-09-08,""
7,37, 1,13,"Tygre"	,"Westerfield"	,"3/4/5"	,"Corn Cross"	,"Junior Men 3/4/5"	,2018-09-09,""
7,35, 1,14,"Tygre"	,"Westerfield"	,"3/4/5"	,"Zaaldercross"	,"Junior Men 3/4/5"	,2018-09-15,""
8,53, 1,15,"Tygre"	,"Westerfield"	,"3/4/5"	,"Heiser Farm"	,"Junior Men 3/4/5"	,2018-09-29,""
5,95, 4,19,"Tygre"	,"Westerfield"	,"3/4/5"	,"PIR Heron Lakes"	,"Junior Men 3/4/5"	,2018-10-14,""
3,48, 5,24,"Tygre"	,"Westerfield"	,"3/4/5"	,"CrossWord CX Challenge p/b Metropolis Cycle Repair"	,"Junior Men 3/4/5"	,2018-10-20,"NEEDS UPGRADE"
1,36, 7, 7,"Tygre"	,"Westerfield"	,"4"	,"Luscher Farm Crosstoberfest"	,"Junior Men 3/4/5"	,2018-10-27,"UPGRADED TO 4 WITH 24 POINTS"
5,83, 4,11,"Tygre"	,"Westerfield"	,"4"	,"Deschutes Brewery Day 2"	,"Junior Men 3/4/5"	,2018-11-04,""
4,29, 4,15,"Tygre"	,"Westerfield"	,"4"	,"Corn Cross 2"	,"Junior Men 3/4/5"	,2018-11-10,""
1,62,10,25,"Tygre"	,"Westerfield"	,"4"	,"Barton Park"	,"Junior Men 3/4/5"	,2018-11-18,"NEEDS UPGRADE"
6,66, 3, 3,"Matthew"	,"Westermeyer"	,"3"	,"GPTB: Het Meer CX Race"	,"Masters 35+ B"	,2012-09-09,""
2,69, 8,11,"Matthew"	,"Westermeyer"	,"3"	,"Battle at Barlow"	,"Masters 35+ B"	,2012-09-30,""
6,34, 2,13,"Matthew"	,"Westermeyer"	,"3"	,"GPTB: Heiser Farm CX"	,"Masters 35+ B"	,2012-10-06,""
7,80, 2,15,"Matthew"	,"Westermeyer"	,"3"	,"Rainier"	,"Masters 35+ B"	,2012-10-14,""
2,128, 8,23,"Matthew"	,"Westermeyer"	,"3"	,"PIR (Heron Lakes)"	,"Masters 35+ B"	,2012-10-21,"NEEDS UPGRADE"
16, ?, 0, 0,"Matthew"	,"Westermeyer"	,"2"	,"GPTB: Pedalers At The Poor Farm CX @ Edgefield"	,"Masters 35+ A"	,2012-11-10,"UPGRADED TO 2 WITH 23 POINTS"
7,26, 1, 1,"Matthew"	,"Westermeyer"	,"2"	,"Kruger's Kermesse... Encore! CX Farm Crit"	,"Masters Men A 35+"	,2013-08-25,""
5,24, 1, 1,"Brian"	,"Westhaver"	,"5"	,"Kruger's Kermesse CX Farm Crit & Bike Relay"	,"Beginner Men"	,2014-05-18,""
83, ?, 0, 0,"Brian"	,"Westhaver"	,"4"	,"Blind Date at the Dairy"	,"Masters Men C 35+"	,2014-09-17,"UPGRADED TO 4 WITH 1 POINTS"
7,22, 1, 1,"Aspynn"	,"Westley"	,"3/4/5"	,"River City Bicycles Cyclocross Crusade"	,"Junior Women 3/4/5"	,2016-11-06,""
8,87, 1, 1,"Banjo"	,"Weymouth"	,"4"	,"Blind Date at the Dairy"	,"Masters Men C"	,2012-10-17,""
4,61, 5, 6,"Banjo"	,"Weymouth"	,"4"	,"Blind Date at the Dairy"	,"Masters Men C"	,2012-10-24,""
3,70, 7,13,"Banjo"	,"Weymouth"	,"4"	,"Battle At Barlow"	,"Masters 35+ C"	,2013-09-29,""
4,98, 5,18,"Banjo"	,"Weymouth"	,"4"	,"Blind Date at the Dairy"	,"Masters Men C 35+"	,2013-10-02,""
8,152, 1,19,"Banjo"	,"Weymouth"	,"4"	,"Rainier"	,"Masters 35+ C"	,2013-10-13,""
4,161, 5,18,"Banjo"	,"Weymouth"	,"4"	,"PIR Infield"	,"Masters 35+ C"	,2013-11-10,""
3,43, 5, 5,"Banjo"	,"Weymouth"	,"4"	,"Blind Date at the Dairy"	,"Masters Men C 40+"	,2015-09-16,""
3,48, 5,10,"Banjo"	,"Weymouth"	,"4"	,"GPRM 2015: Zaaldercross"	,"Masters 35+ C"	,2015-09-19,""
3,72, 7,17,"Banjo"	,"Weymouth"	,"4"	,"Blind Date at the Dairy"	,"Masters Men C 40+"	,2015-09-23,""
5,44, 3,20,"Banjo"	,"Weymouth"	,"4"	,"Blind Date at the Dairy"	,"Men C"	,2015-10-07,"NEEDS UPGRADE"
20, ?, 0, 0,"Banjo"	,"Weymouth"	,"3"	,"Alpenrose"	,"Masters 35+ B"	,2015-10-10,"UPGRADED TO 3 WITH 20 POINTS"
8,91, 1, 1,"Banjo"	,"Weymouth"	,"3"	,"Portland International Raceway"	,"Masters 35+ B"	,2015-11-14,""
5,96, 4, 5,"Banjo"	,"Weymouth"	,"3"	,"Portland International Raceway"	,"Masters 35+ B"	,2015-11-15,""
3,81, 7, 7,"Banjo"	,"Weymouth"	,"4"	,"River City Bicycles Cyclocross Crusade"	,"Masters 35+ 4"	,2016-10-30,"DOWNGRADED TO 4"
30, ?, 0, 0,"Banjo"	,"Weymouth"	,"3"	,"Battle at Barlow"	,"Men 2/3"	,2017-09-24,"UPGRADED TO 3 WITH 7 POINTS"
2,54, 6, 6,"Banjo"	,"Weymouth"	,"3"	,"Blind Date at the Dairy"	,"Masters Men 3/4 40+"	,2017-10-11,""
7,69, 2, 8,"Banjo"	,"Weymouth"	,"3"	,"Blind Date at the Dairy"	,"Masters Men 3/4 40+"	,2018-09-19,""
2,62, 8,16,"Banjo"	,"Weymouth"	,"3"	,"Blind Date at the Dairy"	,"Masters Men 3/4 40+"	,2018-10-03,""
2,15, 4, 4,"Anna"	,"Wheeler"	,"5"	,"Corvallis Cross Classic"	,"Women Category 5"	,2017-11-04,""
1, 7, 3, 3,"Meridy"	,"Wheeler"	,"4"	,"Twilight Cyclocross Series"	,"Women C"	,2012-09-04,""
1, 8, 3, 6,"Meridy"	,"Wheeler"	,"4"	,"Twilight Cyclocross Series"	,"Women C"	,2012-09-11,""
3,15, 1, 1,"Zane"	,"Wheeler"	,"4"	,"Twilight Cyclocross Series"	,"Men C"	,2012-09-04,""
3,22, 3, 4,"Zane"	,"Wheeler"	,"4"	,"Twilight Cyclocross Series"	,"Men C"	,2012-09-11,""
5,62, 4, 4,"Billy"	,"Wherley"	,"3"	,"Deschutes Brewery"	,"Category B"	,2013-10-26,""
3,49, 5, 9,"Billy"	,"Wherley"	,"3"	,"Deschutes Brewery"	,"Category B"	,2013-10-27,""
2,45, 6,15,"Billy"	,"Wherley"	,"3"	,"Washington County Fair Complex"	,"Category B"	,2013-11-03,""
2,53, 6,21,"Billy"	,"Wherley"	,"3"	,"PIR Infield"	,"Category B"	,2013-11-10,"NEEDS UPGRADE"
6,39, 2,23,"Billy"	,"Wherley"	,"3"	,"Barton Park"	,"Category B"	,2013-11-17,"NEEDS UPGRADE"
4,11, 2, 2,"Annie"	,"Whetzel"	,"3"	,"Rapha Trophy Cup p/b Western Bikeworks"	,"Women B"	,2014-09-02,""
7,28, 1, 1,"Petra"	,"Whitacre"	,"4"	,"Blind Date at the Dairy"	,"Women C"	,2013-09-18,""
21, ?, 0, 0,"Petra"	,"Whitacre"	,"3"	,"Rainier"	,"Women B"	,2013-10-13,"UPGRADED TO 3 WITH 1 POINTS"
26, ?, 0, 0,"Petra"	,"Whitacre"	,"4"	,"Heron Lakes"	,"Women C"	,2014-10-19,"DOWNGRADED TO 4"
10, ?, 0, 0,"Petra"	,"Whitacre"	,"3"	,"Rapha Portland Trophy Cup"	,"Women B"	,2015-09-01,"UPGRADED TO 3 WITH 0 POINTS"
