Place, Starters, Points, Points Total, First Name, Last Name, Category, Event, Race, Date, Notes
2,13, 4,18,"Jo"	,"Fidler"	,"3"	,"Cascade Locks"	,"Masters Women 35+ B"	,2015-10-18,""
2,20, 4,22,"Jo"	,"Fidler"	,"3"	,"Deschutes Brewery"	,"Masters Women 35+ B"	,2015-10-31,"NEEDS UPGRADE"
11, ?, 0, 0,"Jo"	,"Fidler"	,"2"	,"Barton Park"	,"Masters Women 35+ A"	,2015-11-08,"UPGRADED TO 2 WITH 21 POINTS"
3, 6, 1, 1,"Laura"	,"Fidler"	,"5"	,"CrossWord CX Challenge"	,"Women 5"	,2016-10-22,""
4,35, 4, 4,"Mitchell"	,"Fies"	,"3/4/5"	,"Zaaldercross"	,"Junior Men 3/4/5"	,2018-09-15,""
5,108, 4, 4,"Andrew"	,"Filer"	,"4"	,"Battle at Barlow"	,"Masters 35+ C"	,2012-09-30,""
3,160, 7,11,"Andrew"	,"Filer"	,"4"	,"Rainier"	,"Masters 35+ C"	,2012-10-14,""
3,126, 7,18,"Andrew"	,"Filer"	,"4"	,"Deschutes Brewery"	,"Masters 35+ C"	,2012-10-27,""
1,109,10,28,"Andrew"	,"Filer"	,"4"	,"Deschutes Brewery"	,"Masters 35+ C"	,2012-10-28,"NEEDS UPGRADE"
24, ?, 0, 0,"Andrew"	,"Filer"	,"3"	,"Barton Park"	,"Masters 35+ B"	,2012-11-04,"UPGRADED TO 3 WITH 28 POINTS"
5,39, 3, 3,"Andrew"	,"Filer"	,"3"	,"Kruger's Kermesse... Encore! CX Farm Crit"	,"Masters Men B 35+"	,2013-08-25,""
6,63, 3, 6,"Andrew"	,"Filer"	,"3"	,"DDCX 1"	,"Masters 35+ B"	,2014-08-30,""
7,61, 2, 5,"Andrew"	,"Filer"	,"3"	,"Het Meer"	,"Masters 35+ B"	,2014-09-06,""
1,19, 5,10,"Andrew"	,"Filer"	,"3"	,"Fazio Farms"	,"Masters 35+ B"	,2014-09-07,""
5,41, 3,13,"Andrew"	,"Filer"	,"3"	,"Hood River Double Cross"	,"Masters 35+ B"	,2014-09-14,""
7,55, 1,14,"Andrew"	,"Filer"	,"3"	,"Zaaldercross"	,"Masters 35+ B"	,2014-09-20,""
6,50, 2,16,"Andrew"	,"Filer"	,"3"	,"Ninkrossi"	,"Masters 35+ B"	,2014-09-27,""
1,35, 7,23,"Andrew"	,"Filer"	,"3"	,"Blind Date at the Dairy"	,"Masters Men B 35+"	,2014-10-01,"NEEDS UPGRADE"
7,57, 1,24,"Andrew"	,"Filer"	,"3"	,"Heiser Farms CX"	,"Masters 35+ B"	,2014-10-04,"NEEDS UPGRADE"
3,13, 1, 1,"Patrick"	,"Fink"	,"5"	,"Deschutes Brewery"	,"Beginner Men"	,2013-12-08,""
7,44, 1, 1,"Chad"	,"Fischer"	,"5"	,"Deschutes Brewery"	,"Beginner Men"	,2012-10-27,""
4,35, 4, 5,"Chad"	,"Fischer"	,"5"	,"Deschutes Brewery"	,"Beginner Men"	,2012-10-28,""
8,66, 1, 6,"Chad"	,"Fischer"	,"5"	,"Barton Park"	,"Beginner Men"	,2012-11-04,""
6,84, 3, 9,"Chad"	,"Fischer"	,"5"	,"PIR (Pro Paddock)"	,"Beginner Men"	,2012-11-18,""
18, ?, 0, 0,"Chad"	,"Fischer"	,"4"	,"Fazio Farms"	,"Masters 35+ C"	,2013-09-22,"UPGRADED TO 4 WITH 9 POINTS"
